dbo	Branch	BranchId	int	1	0	1	0	0	1
dbo	Branch	BranchCode	varchar(10)	0	0	0	1	0	0
dbo	Supplier	SupplierId	int	1	0	1	0	0	1
dbo	Supplier	SupplierCode	varchar(15)	0	0	0	1	0	0
dbo	Category	CategoryId	int	1	0	1	0	0	1
dbo	Category	ParentCategoryId	int	0	1	0	0	1	0
dbo	Item	ItemId	int	1	0	1	0	0	1
dbo	Item	CategoryId	int	0	1	0	0	0	0
dbo	Item	SupplierId	int	0	1	0	0	1	0
dbo	Store	StoreId	int	1	0	1	0	0	1
dbo	Store	BranchId	int	0	1	0	0	0	0
dbo	Stock	StockId	bigint	1	0	0	0	0	1
dbo	Stock	ItemId	int	0	1	0	0	0	0
dbo	Stock	StoreId	int	0	1	0	0	0	0
dbo	PurchaseOrder	PoId	int	1	0	1	0	0	1
dbo	PurchaseOrder	SupplierId	int	0	1	0	0	0	0
dbo	PurchaseOrder	BranchId	int	0	1	0	0	0	0
dbo	PurchaseOrderItem	PoId	int	1	1	0	0	0	1
dbo	PurchaseOrderItem	LineNo	smallint	1	0	0	0	0	2
dbo	PurchaseOrderItem	ItemId	int	0	1	0	0	0	0
dbo	IssueNote	IssueId	int	1	0	1	0	0	1
dbo	IssueNote	StoreId	int	0	1	0	0	0	0
dbo	IssueNoteItem	IssueId	int	1	1	0	0	0	1
dbo	IssueNoteItem	LineNo	smallint	1	0	0	0	0	2
dbo	IssueNoteItem	ItemId	int	0	1	0	0	0	0
dbo	AuditLog	AuditId	bigint	1	0	0	0	0	1
